session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected,session_duration_log,ip_reputation_score_log,network_packet_size_is64,fail_ratio
SID_00001,599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1,6.202501636943257,0.47425587586493034,False,0.25
SID_00002,472,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0,0,7.351797599087553,0.2635704349022164,False,0.0
SID_00003,629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1,4.331315561081424,0.5534047265468075,False,0.6666666666666666
SID_00004,804,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0,1,6.4006707073641484,0.11624155997295549,False,0.0
SID_00005,453,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0,0,6.279535709642165,0.05342119271123307,False,0.2
SID_00006,453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0,5.944036274536997,0.3524059472196838,False,0.4
SID_00007,815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1,6.591820723533044,0.34626125926639556,False,0.25
SID_00008,653,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1,1,2.6100628816810514,0.0932347237689534,False,1.0
SID_00009,406,TCP,2,542.5588952208974,No encryption,0.2945796876500889,0,Chrome,1,0,6.2981380635623685,0.25818607694754575,False,0.0
SID_00010,608,UDP,6,531.9441066211396,No encryption,0.4241165641663546,1,Chrome,0,0,6.278416553040681,0.3535516664980893,False,0.16666666666666666
SID_00011,407,UDP,6,580.7219253670751,DES,0.1228937389064628,3,Firefox,0,1,6.365992542087218,0.11590904875612736,False,0.5
SID_00012,406,UDP,9,191.0528369326706,DES,0.3397112713433893,1,Edge,0,1,5.257770526526969,0.29245412159928397,False,0.1111111111111111
SID_00013,548,TCP,2,186.1476383415076,No encryption,0.4068986326067099,2,Safari,1,0,5.231897815203265,0.34138773048123905,False,1.0
SID_00014,117,TCP,4,833.4889649491395,DES,0.4732919047923998,2,Unknown,0,1,6.7268195194663924,0.3874992881069672,False,0.5
SID_00015,155,TCP,3,77.84995157439054,No encryption,0.3524755745227921,3,Chrome,0,1,4.367546699260356,0.30193667207286806,False,1.0
SID_00016,387,ICMP,6,292.1361960073892,DES,0.2549124511362793,3,Chrome,0,1,5.680637333805497,0.22706581009962826,False,0.5
SID_00017,297,TCP,8,1421.414371761036,AES,0.345367552273892,3,Firefox,0,1,7.260110968590089,0.2966672487876099,False,0.375
SID_00019,318,TCP,5,504.98866997657433,AES,0.3942314568896387,1,Unknown,0,1,6.226514277686132,0.33234333649647607,False,0.2
SID_00020,217,ICMP,2,883.6175678484254,DES,0.3101131570512104,0,Chrome,0,0,6.785155424889327,0.27011351291097707,False,0.0
SID_00021,793,TCP,3,122.1894142089281,AES,0.3693246493280864,2,Firefox,0,0,4.813723123778942,0.31431766160210933,False,0.6666666666666666
SID_00022,454,TCP,1,299.71154797427783,No encryption,0.3738745916057353,1,Chrome,0,0,5.706151492896184,0.317634917149662,False,1.0
SID_00023,513,TCP,3,654.5261426459776,AES,0.4970295435549451,1,Firefox,0,0,6.485438184400827,0.4034828404163993,False,0.3333333333333333
SID_00024,215,TCP,8,317.0788581057768,AES,0.461950842242767,2,Chrome,0,1,5.762299333502563,0.37977173712534135,False,0.25
SID_00025,391,TCP,5,93.17112499822254,AES,0.536245189457405,2,Firefox,0,0,4.545113605911509,0.42934125053919664,False,0.4
SID_00026,522,TCP,4,211.59584253834697,AES,0.1078985576055601,3,Firefox,0,1,5.359392910393718,0.10246502962610506,False,0.75
SID_00027,269,TCP,9,92.70169297371484,No encryption,0.5068194256848887,0,Chrome,0,1,4.540116257103722,0.4100010887654488,False,0.0
SID_00028,575,TCP,3,3286.221727767748,DES,0.4204711850467863,0,Chrome,0,0,8.09779802735745,0.35098863702842065,False,0.0
SID_00029,379,UDP,2,214.98212232301017,AES,0.7863154442710675,2,Chrome,0,1,5.375195637235685,0.5801550873912499,False,1.0
SID_00030,441,TCP,7,604.9615522886485,AES,0.3360318477936075,0,Firefox,0,1,6.4068165389883545,0.28970391299919723,False,0.0
SID_00031,379,TCP,1,447.62330730772806,DES,0.0993898185618982,0,Chrome,0,0,6.106183576393454,0.09475531549731837,False,0.0
SID_00032,870,UDP,2,674.2716307687525,DES,0.2720868405623606,1,Chrome,0,1,6.515115025878653,0.2406587334699387,False,0.5
SID_00033,497,TCP,1,551.4693389958693,No encryption,0.0351392525704552,1,Chrome,1,0,6.3143979368219005,0.03453596121349475,False,1.0
SID_00035,664,TCP,6,1650.942099269792,No encryption,0.3915442086550267,2,Chrome,1,0,7.409706904598533,0.3304140719822101,False,0.3333333333333333
SID_00036,255,TCP,2,268.71323796747225,AES,0.5173361768348047,1,Chrome,1,0,5.597359312988089,0.41695628216655745,False,0.5
SID_00037,541,TCP,5,162.2873080817919,No encryption,0.1379758234123113,2,Chrome,0,0,5.095511275472739,0.12925109067381776,False,0.4
SID_00038,108,TCP,7,3325.3086894656926,AES,0.0795093219361312,2,Firefox,0,1,8.109618466470156,0.0765066063556634,False,0.2857142857142857
SID_00039,234,TCP,5,1608.365096858205,DES,0.6459042598252172,4,Firefox,0,1,7.383595030424675,0.4982899352079331,False,0.8
SID_00040,539,TCP,4,361.9425945829811,DES,0.3087899599206534,0,Chrome,0,0,5.894244680114462,0.26910301562715194,False,0.0
SID_00041,647,TCP,2,1801.41325899014,No encryption,0.2991840394359722,1,Chrome,0,0,7.496881745388214,0.2617364054329229,False,0.5
SID_00042,534,TCP,4,888.2555882449734,AES,0.0367521363575246,3,Chrome,0,1,6.790384695031449,0.036092880771624904,False,0.75
SID_00043,476,TCP,4,460.1784563437431,DES,0.3974194615917665,2,Edge,0,0,6.13378507512637,0.33462729404064073,False,0.5
SID_00044,439,TCP,5,1653.5169443242044,No encryption,0.2453131148697448,2,Chrome,0,0,7.411264368665649,0.21938699618372398,False,0.4
SID_00045,204,TCP,4,899.8403029798167,DES,0.3373211395417786,1,Chrome,0,0,6.803327997703187,0.2906684634003133,False,0.25
SID_00046,356,TCP,2,1401.0372662699012,DES,0.6729768279913647,1,Chrome,0,1,7.245681648032928,0.5146045713357631,False,0.5
SID_00047,407,TCP,7,432.6976830475844,DES,0.081769711383674,3,Edge,1,1,6.072347708534186,0.07859832171203039,False,0.42857142857142855
SID_00048,711,TCP,5,1282.4285713839413,AES,0.207445483534184,2,Edge,0,1,7.157290347328192,0.18850695731352357,False,0.4
SID_00049,568,TCP,6,365.73555486698257,AES,0.5343683322456065,2,Unknown,0,1,5.904641029381648,0.42811878640799483,False,0.3333333333333333
SID_00050,147,TCP,1,1062.659149730583,AES,0.2633726317268964,1,Edge,0,0,6.9694702705816365,0.23378483685024903,False,1.0
SID_00051,564,TCP,2,457.4952008808089,No encryption,0.219704731816743,1,Edge,1,0,6.127949824642414,0.19860880635181777,False,0.5
SID_00052,422,TCP,5,415.6167950841102,AES,0.4663241681421678,1,Chrome,0,0,6.0321668426664665,0.38275870326441386,False,0.2
SID_00053,364,TCP,5,1274.1942392067006,AES,0.8708336888298047,2,Firefox,0,1,7.150853790465129,0.6263841544206306,False,0.4
SID_00054,622,TCP,6,106.8587436466122,No encryption,0.3298889701600508,1,Firefox,1,1,4.680822441840243,0.28509545766625427,False,0.16666666666666666
SID_00055,706,TCP,4,2107.19716665885,DES,0.4658562587345757,2,Edge,1,0,7.653588437857967,0.38243954868083163,False,0.5
SID_00056,686,TCP,3,568.5288982396605,DES,0.6136432536281438,1,Firefox,0,1,6.344809524777475,0.4784945129679994,False,0.3333333333333333
SID_00057,332,TCP,2,808.6446595055914,AES,0.1742454820703902,2,Chrome,0,0,6.696595459444606,0.16062579841523678,False,1.0
SID_00058,438,TCP,4,415.7067630688467,DES,0.2172346369333444,1,Chrome,0,0,6.0323827683635285,0.19658159487417826,False,0.25
SID_00059,566,UDP,5,830.483464807917,DES,0.6028501934467423,1,Firefox,0,1,6.723211412455599,0.4717834153905507,False,0.2
SID_00061,404,TCP,9,1622.860870864447,DES,0.2356755502429507,2,Chrome,0,1,7.392561846401712,0.2116178247729572,False,0.2222222222222222
SID_00062,462,TCP,5,1541.3967703070944,AES,0.0400191829191788,2,Chrome,0,0,7.341092829914186,0.03923915809776727,False,0.4
SID_00063,278,TCP,8,354.30271017360786,AES,0.5116026457176248,2,Edge,0,1,5.872970130843676,0.4131704427679451,False,0.25
SID_00064,260,UDP,6,765.3837210156122,AES,0.5402342873210285,1,Chrome,0,0,6.641682985585043,0.431934539478284,False,0.16666666666666666
SID_00065,662,TCP,3,1213.40421214117,No encryption,0.4544121864022344,1,Safari,0,0,7.102008875131044,0.37460182339540893,False,0.3333333333333333
SID_00066,771,ICMP,6,1158.071232246108,No encryption,0.1357785048218817,2,Chrome,1,0,7.055374301542709,0.12731832313849697,False,0.3333333333333333
SID_00067,485,TCP,5,1772.622948174797,No encryption,0.4362987418285402,2,Chrome,0,0,7.480779596972793,0.3620694864742915,False,0.4
SID_00068,700,TCP,6,1426.7642254528307,DES,0.1997666308396278,4,Chrome,0,1,7.263865021041357,0.1821270635810657,False,0.6666666666666666
SID_00069,572,TCP,10,1012.2699508672414,DES,0.1644573479924417,1,Chrome,0,1,6.920937955289644,0.1522551827864987,False,0.1
SID_00071,572,TCP,6,1317.8935947961731,AES,0.2053917876576297,0,Edge,0,0,7.184548478345843,0.18680464908327787,False,0.0
SID_00072,807,TCP,3,1455.576779684165,AES,0.6271547548524079,0,Unknown,0,1,7.28384429020691,0.4868329404022296,False,0.0
SID_00073,492,TCP,4,347.91805418370086,AES,0.2638643281334985,1,Edge,0,1,5.854837092866276,0.23417395462639407,False,0.25
SID_00074,812,UDP,7,1217.9139195544108,DES,0.651720998102494,2,Chrome,0,1,7.105715511363925,0.5018177734885537,False,0.2857142857142857
SID_00075,64,TCP,6,2384.0286686884297,No encryption,0.5125115429611737,1,Chrome,0,0,7.776966423664633,0.41377154260360505,True,0.16666666666666666
SID_00076,664,TCP,3,212.17659606312992,No encryption,0.1055602857207033,0,Chrome,0,0,5.36212091170284,0.10035225236646876,False,0.0
SID_00077,517,TCP,5,39.54966375410118,DES,0.3360337531065149,1,Edge,0,1,3.702527488396368,0.2897053390966005,False,0.2
SID_00078,440,UDP,5,60.12054049063278,DES,0.3466523484514337,1,Chrome,0,0,4.1128479879250675,0.29762177091038106,False,0.2
SID_00079,518,UDP,7,195.4101798830058,AES,0.4472088363848736,0,Chrome,0,1,5.28020522697531,0.3696367609294464,False,0.0
SID_00080,102,TCP,3,2018.4893233966325,No encryption,0.208078319662466,2,Edge,0,0,7.610599948233678,0.18903093156865058,False,0.6666666666666666
